skip,sense,language,term,group,word,transliteration,source
,spice,Afrikaans,kaneel,,kaneel,,Wiktionary
,''Cinnamomum_verum'',Afrikaans,kaneelboom,,kaneelboom,,Wiktionary
,spice,Albanian,kanellë,,kanellë,,Wiktionary
,spice,Amharic,ቀረፋ *ḳäräfa*,,ቀረፋ,ḳäräfa,Wiktionary
,''Cinnamomum_verum'',Armenian,դարչին *darčʿin*,,դարչին,darčʿin,Wiktionary
,''Cinnamomum_verum'',Assamese,দালচেনি *dalseni*,,দালচেনি,dalseni,Wiktionary
,spice,Azerbaijani,darçın,,darçın,,Wiktionary
,''Cinnamomum_verum'',Basque,kanela,,kanela,,Wiktionary
,spice,Belarusian,кары́ца *karýca*,,кары́ца,karýca,Wiktionary
,spice,Belarusian,цынамо́н *cynamón* ,,цынамо́н,cynamón,Wiktionary
,''Cinnamomum_verum'',Bengali,দারচিনি *darcini*,,দারচিনি,darcini,Wiktionary
,''Cinnamomum_verum'',Bengali,দারুচিনি *darucini*,,দারুচিনি,darucini,Wiktionary
,''Cinnamomum_verum'',Bikol Central,kanela,,kanela,,Wiktionary
,spice,Breton,kanell,,kanell,,Wiktionary
,''Cinnamomum_verum'',Breton,gwez-kanell *collective*,,gwez-kanell,collective,Wiktionary
,spice,Brunei Malay,kayu manis,,kayu manis,,Wiktionary
,''Cinnamomum_verum'',Bulgarian,кане́лено дърво́ *kanéleno dǎrvó*,,кане́лено дърво́,kanéleno dǎrvó,Wiktionary
,spice,Bulgarian,кане́ла *kanéla*,,кане́ла,kanéla,Wiktionary
,spice,Catalan,canella,,canella,,Wiktionary
,spice,Catalan,canyella,,canyella,,Wiktionary
,''Cinnamomum_verum'',Catalan,caneller,,caneller,,Wiktionary
,''Cinnamomum_verum'',Catalan,canyeller,,canyeller,,Wiktionary
,spice,Crimean Tatar,tarçın,,tarçın,,Wiktionary
,spice,Czech,skořice,,skořice,,Wiktionary
,''Cinnamomum_verum'',Czech,skořicovník,,skořicovník,,Wiktionary
,spice,Danish,kanel,,kanel,,Wiktionary
,''Cinnamomum_verum'',Dhivehi,ފޮނި ތޮށި *foni toṣi*,,ފޮނި ތޮށި,foni toṣi,Wiktionary
,''Cinnamomum_verum'',Dutch,kaneelboom,,kaneelboom,,Wiktionary
,spice,Dutch,kaneel,,kaneel,,Wiktionary
,''Cinnamomum_verum'',Esperanto,vera cinamomo,,vera cinamomo,,Wiktionary
,spice,Esperanto,cinamo,,cinamo,,Wiktionary
,spice,Estonian,kaneel,,kaneel,,Wiktionary
,spice,Faroese,kanel,,kanel,,Wiktionary
,''Cinnamomum_verum'',Finnish,kanelipuu,,kanelipuu,,Wiktionary
,''Cinnamomum_verum'',Finnish,ceyloninkaneli,,ceyloninkaneli,,Wiktionary
,spice,Finnish,kaneli,,kaneli,,Wiktionary
,''Cinnamomum_verum'',French,cannelier,,cannelier,,Wiktionary
,spice,French,cannelle,,cannelle,,Wiktionary
,spice,Galician,canela,,canela,,Wiktionary
,spice,Georgian,დარიჩინი *daričini*,,დარიჩინი,daričini,Wiktionary
,''Cinnamomum_verum'',German,Zimtbaum,,Zimtbaum,,Wiktionary
,spice,German,Zimt,,Zimt,,Wiktionary
,spice,German,Kaneel,,Kaneel,,Wiktionary
,''Cinnamomum_verum'',Greek,κανέλα *kanéla*,,κανέλα,kanéla,Wiktionary
,''Cinnamomum_verum'',Gujarati,તજ *taj*,,તજ,taj,Wiktionary
,spice,Hausa,kirfa,,kirfa,,Wiktionary
,''Cinnamomum_verum'',Hebrew,קִנָּמוֹן *qinnāmṓn*,,קִנָּמוֹן,qinnāmṓn,Wiktionary
,spice,Hebrew,קינמון \ קִנָּמוֹן *kinamón*,,קינמון \ קִנָּמוֹן,kinamón,Wiktionary
,''Cinnamomum_verum'',Hindi,दालचीनी *dālcīnī*,,दालचीनी,dālcīnī,Wiktionary
,spice,Hindi,दारचीनी *dārcīnī*,,दारचीनी,dārcīnī,Wiktionary
,spice,Hindi,शीत *śīt*,,शीत,śīt,Wiktionary
,spice,Hindi,मुखशोधन *mukhśodhan*,,मुखशोधन,mukhśodhan,Wiktionary
,spice,Hindi,चोच *coc*,,चोच,coc,Wiktionary
,spice,Hindi,सुगंधवल्कल *sugandhvalkal*,,सुगंधवल्कल,sugandhvalkal,Wiktionary
,spice,Hindi,चोतक *cotak*,,चोतक,cotak,Wiktionary
,spice,Hindi,दालचीनी *dālcīnī*,,दालचीनी,dālcīnī,Wiktionary
,spice,Hindi,सलपत्र *salpatra*,,सलपत्र,salpatra,Wiktionary
,''Cinnamomum_verum'',Hungarian,fahéjfa,,fahéjfa,,Wiktionary
,spice,Hungarian,fahéj,,fahéj,,Wiktionary
,''Cinnamomum_verum'',Icelandic,kaniltré,,kaniltré,,Wiktionary
,spice,Icelandic,kanill,,kanill,,Wiktionary
,spice,Icelandic,kanell,,kanell,,Wiktionary
,''Cinnamomum_verum'',Indonesian,kayumanis,,kayumanis,,Wiktionary
,spice,Indonesian,kayu manis,,kayu manis,,Wiktionary
,spice,Irish,cainéal,,cainéal,,Wiktionary
,spice,Italian,cannella,,cannella,,Wiktionary
,spice,Japanese,シナモン *shinamon*,,シナモン,shinamon,Wiktionary
,spice,Japanese,"肉桂 *nikki, nikkei*",,肉桂,"nikki, nikkei",Wiktionary
,''Cinnamomum_verum'',Japanese,セイロンニッケイ *Seiron nikkei*,,セイロンニッケイ,Seiron nikkei,Wiktionary
,''Cinnamomum_verum'',Javanese,ꦏꦪꦸꦩꦤꦶꦱ꧀ *kayu manis*,,ꦏꦪꦸꦩꦤꦶꦱ꧀,kayu manis,Wiktionary
,spice,Kabuverdianu,kanéla,,kanéla,,Wiktionary
,spice,Kannada,ದಾಲ್ಚಿನ್ನಿ *dālcinni*,,ದಾಲ್ಚಿನ್ನಿ,dālcinni,Wiktionary
,spice,Kazakh,даршын *darşyn*,,даршын,darşyn,Wiktionary
,spice,Kikuyu,ndarathini ,,ndarathini,,Wiktionary
,spice,Korean,계피 *gyepi*,,계피,gyepi,Wiktionary
,''Cinnamomum_verum'',Korean,실론계피나무 *sillon'gyepinamu*,,실론계피나무,sillon'gyepinamu,Wiktionary
,spice,Korean,시나몬 *sinamon*,,시나몬,sinamon,Wiktionary
,spice,Kyrgyz,корица *koritsa*,,корица,koritsa,Wiktionary
,spice,Lao,ແຄ່ *khǣ*,,ແຄ່,khǣ,Wiktionary
,spice,Lao,ອົບເຊີຍ *ʼop sœ̄i*,,ອົບເຊີຍ,ʼop sœ̄i,Wiktionary
,spice,Latin,cinnamōmum,,cinnamōmum,,Wiktionary
,spice,Latin,cinnamum,,cinnamum,,Wiktionary
,spice,Latvian,kanēlis,,kanēlis,,Wiktionary
,spice,Lithuanian,cinamonas,,cinamonas,,Wiktionary
,spice,Low German,Kaneel,,Kaneel,,Wiktionary
,spice,Macedonian,цимет *cimet*,,цимет,cimet,Wiktionary
,spice,Malay,kulit kayu manis,,kulit kayu manis,,Wiktionary
,spice,Malay,kayu manis,,kayu manis,,Wiktionary
,spice,Malayalam,കറുവപ്പട്ട *kaṟuvappaṭṭa*,,കറുവപ്പട്ട,kaṟuvappaṭṭa,Wiktionary
,''Cinnamomum_verum'',Malayalam,കറുവ *kaṟuva*,,കറുവ,kaṟuva,Wiktionary
,spice,Maltese,ċinnamonu,,ċinnamonu,,Wiktionary
,spice,Maltese,kannella,,kannella,,Wiktionary
,spice,Maori,hinamona,,hinamona,,Wiktionary
,''Cinnamomum_verum'',Marathi,दालचीनी *dālcīnī*,,दालचीनी,dālcīnī,Wiktionary
,''Cinnamomum_verum'',Mongolian,шанц *šanc*,,шанц,šanc,Wiktionary
,spice,Navajo,tó wónaanídę́ę́ʼ tsin bikáshtʼóózh bitáʼahí bił éʼélʼíní,,tó wónaanídę́ę́ʼ tsin bikáshtʼóózh bitáʼahí bił éʼélʼíní,,Wiktionary
,''Cinnamomum_verum'',Nepali,दालचिनी *dālacinī*,,दालचिनी,dālacinī,Wiktionary
,spice,Norman,cannelle,,cannelle,,Wiktionary
,spice,Norwegian,kanel,,kanel,,Wiktionary
,''Cinnamomum_verum'',Norwegian,kaneltre,,kaneltre,,Wiktionary
,spice,Occitan,canèla,,canèla,,Wiktionary
,''Cinnamomum_verum'',Oromo,qarafaa,,qarafaa,,Wiktionary
,spice,Ottoman Turkish,دارچین *darçın*,,دارچین,darçın,Wiktionary
,spice,Persian,دارچین *dârčin*,,دارچین,dârčin,Wiktionary
,spice,Polish,cynamon,,cynamon,,Wiktionary
,''Cinnamomum_verum'',Polish,cynamonowiec,,cynamonowiec,,Wiktionary
,''Cinnamomum_verum'',Portuguese,caneleira,,caneleira,,Wiktionary
,spice,Portuguese,canela,,canela,,Wiktionary
,''Cinnamomum_verum'',Punjabi,दालचीनी,,दालचीनी,,Wiktionary
,spice,Punjabi,ਦਾਲ਼ਚੀਨੀ *dāḷcīnī*,,ਦਾਲ਼ਚੀਨੀ,dāḷcīnī,Wiktionary
,''Cinnamomum_verum'',Romanian,scorțișor,,scorțișor,,Wiktionary
,spice,Romanian,scorțișoară,,scorțișoară,,Wiktionary
,''Cinnamomum_verum'',Russian,кори́чник настоя́щий *koríčnik nastojáščij*,,кори́чник настоя́щий,koríčnik nastojáščij,Wiktionary
,''Cinnamomum_verum'',Russian,кори́чное де́рево *koríčnoje dérevo*,,кори́чное де́рево,koríčnoje dérevo,Wiktionary
,spice,Russian,кори́ца *koríca*,,кори́ца,koríca,Wiktionary
,spice,Sanskrit,चोच *coca*,,चोच,coca,Wiktionary
,spice,Sanskrit,चोचक *cocaka*,,चोचक,cocaka,Wiktionary
,spice,Sanskrit,दारुसिता *dārusitā*,,दारुसिता,dārusitā,Wiktionary
,spice,Sanskrit,दारुचिनी *dārucinī*,,दारुचिनी,dārucinī,Wiktionary
,spice,Sanskrit,बहुगन्ध *bahugandha*,,बहुगन्ध,bahugandha,Wiktionary
,spice,Shan,ၵႅင်းႁွမ် *shn* *kéng hǎum*,,ၵႅင်းႁွမ်,shn,Wiktionary
,''Cinnamomum_verum'',Sinhalese,කුරුඳු *kuruⁿdu*,,කුරුඳු,kuruⁿdu,Wiktionary
,''Cinnamomum_verum'',Slovak,škoricovník,,škoricovník,,Wiktionary
,spice,Slovak,škorica,,škorica,,Wiktionary
,spice,Slovene,cimet,,cimet,,Wiktionary
,''Cinnamomum_verum'',Somali,qorfe,,qorfe,,Wiktionary
,''Cinnamomum_verum'',Spanish,canelo,,canelo,,Wiktionary
,spice,Spanish,canela,,canela,,Wiktionary
,''Cinnamomum_verum'',Swahili,mdalasini,,mdalasini,,Wiktionary
,spice,Swahili,dalasini,,dalasini,,Wiktionary
,''Cinnamomum_verum'',Swedish,äkta kanel,,äkta kanel,,Wiktionary
,spice,Swedish,kanel,,kanel,,Wiktionary
,spice,Tagalog,kanela,,kanela,,Wiktionary
,spice,Tai Dam,ꪵꪁꪫ꪿,,ꪵꪁꪫ꪿,,Wiktionary
,spice,Tajik,дорчин *dorčin*,,дорчин,dorčin,Wiktionary
,''Cinnamomum_verum'',Tamil,கறுவாப்பட்டை *kaṟuvāppaṭṭai*,,கறுவாப்பட்டை,kaṟuvāppaṭṭai,Wiktionary
,''Cinnamomum_verum'',Tamil,இலவங்கப்பட்டை *ilavaṅkappaṭṭai*,,இலவங்கப்பட்டை,ilavaṅkappaṭṭai,Wiktionary
,''Cinnamomum_verum'',Tamil,கருவாப்பட்டை *karuvāppaṭṭai*,,கருவாப்பட்டை,karuvāppaṭṭai,Wiktionary
,spice,Tatar,дарчин *darçin*,,дарчин,darçin,Wiktionary
,spice,Telugu,లవంగపట్ట *lavaṅgapaṭṭa*,,లవంగపట్ట,lavaṅgapaṭṭa,Wiktionary
,spice,Telugu,దాల్చిని *dālcini*,,దాల్చిని,dālcini,Wiktionary
,spice,Thai,อบเชย *òp-chəəi*,,อบเชย,òp-chəəi,Wiktionary
,''Cinnamomum_verum'',Tibetan,ཤིང་ཚ *shing tsha*,,ཤིང་ཚ,shing tsha,Wiktionary
,spice,Tigrinya,ቃርፋ *ḳarfa*,,ቃርፋ,ḳarfa,Wiktionary
,''Cinnamomum_verum'',Turkish,tarçın ağacı,,tarçın ağacı,,Wiktionary
,spice,Turkish,tarçın,,tarçın,,Wiktionary
,spice,Turkmen,darçyn,,darçyn,,Wiktionary
,spice,Ukrainian,кори́ця *korýcja*,,кори́ця,korýcja,Wiktionary
,spice,Ukrainian,цинамо́н *cynamón*,,цинамо́н,cynamón,Wiktionary
,spice,Urdu,دارچینی *dārcīnī*,,دارچینی,dārcīnī,Wiktionary
,spice,Uyghur,دارچىن *darchin*,,دارچىن,darchin,Wiktionary
,spice,Uzbek,dolchin,,dolchin,,Wiktionary
,spice,Uzbek,koritsa,,koritsa,,Wiktionary
,spice,Venetian,canela,,canela,,Wiktionary
,spice,Vietnamese,quế,,quế,,Wiktionary
,''Cinnamomum_verum'',Vietnamese,cây quế,,cây quế,,Wiktionary
,''Cinnamomum_verum'',Volapük,kirfatabim,,kirfatabim,,Wiktionary
,spice,Volapük,kirfat,,kirfat,,Wiktionary
,''Cinnamomum_verum'',Volapük,kirfatep,,kirfatep,,Wiktionary
,spice,Welsh,synamon,,synamon,,Wiktionary
,spice,Yiddish,צימערינג *tsimering*,,צימערינג,tsimering,Wiktionary
,spice,Yiddish,צימרינג *tsimring*,,צימרינג,tsimring,Wiktionary
